run_index,temperature,tag1,tag2,tag3,summary,planner_ms,reviewer_ms,finalizer_ms,total_ms,timestamp
16,0.7,frozen fruit packaging defect,post-purchase seal failure,blueberry frost contamination,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost contamination.,11923,14762,15515,42200,2026-08-30T23:21:44Z
17,0.7,frozen fruit packaging defect,blueberry recall incident,seal failure frost contamination,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost contamination.,12142,14428,15302,41872,2026-08-30T23:22:26Z
18,0.7,Packaging Seal Failure,Frozen Blueberry Recall,Frost Buildup Contamination,Trader Joe's recalled frozen blueberries due to packaging seal tear causing frost buildup contamination.,11913,15060,15607,42580,2026-08-30T23:23:08Z
19,0.7,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product issue,"Trader Joe's organic frozen blueberries had a packaging seal tear causing frost buildup, leading to a recall.",12823,15192,16559,44574,2026-08-30T23:23:53Z
20,0.7,Frozen Food Recall,Packaging Seal Failure,Berry Contamination Risk,Trader Joe's recalled frozen blueberries due to packaging seal tear causing frost buildup.,11255,14616,15297,41168,2026-08-30T23:24:34Z
1,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11887,14368,15190,41445,2026-08-30T23:25:16Z
2,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11813,11541,11571,34925,2026-08-30T23:25:51Z
3,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11842,11430,12267,35539,2026-08-30T23:26:26Z
4,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11875,11483,11670,35028,2026-08-30T23:27:01Z
5,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11711,11422,11492,34625,2026-08-30T23:27:36Z
6,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11803,11489,11513,34805,2026-08-30T23:28:11Z
7,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11745,11454,11569,34768,2026-08-30T23:28:45Z
8,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11865,11498,11544,34907,2026-08-30T23:29:20Z
9,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11775,11470,11544,34789,2026-08-30T23:29:55Z
10,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11820,11392,11618,34830,2026-08-30T23:30:30Z
11,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11799,11395,11541,34735,2026-08-30T23:31:05Z
12,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11743,11421,11709,34873,2026-08-30T23:31:39Z
13,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11765,11417,11750,34932,2026-08-30T23:32:14Z
14,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11775,11440,11561,34776,2026-08-30T23:32:49Z
15,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11885,11437,11539,34861,2026-08-30T23:33:24Z
16,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11757,11457,11597,34811,2026-08-30T23:33:59Z
17,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11853,11545,11541,34939,2026-08-30T23:34:34Z
18,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11771,11455,11551,34777,2026-08-30T23:35:09Z
19,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11810,11407,11547,34764,2026-08-30T23:35:43Z
20,0.0,frozen blueberry packaging defect,seal failure frost buildup,post-purchase product recall,Trader Joe's recalled frozen blueberries due to packaging seal failure causing frost buildup.,11758,11398,11741,34897,2026-08-30T23:36:18Z
